Response ID,Survey Date,Flight,Station,NPS (0-10),Theme (blank on purpose),Verbatim
R-0001,2026-08-11,LS298,LAS,6,,Agent was kind but could not tell me what the policy actually was.
R-0002,2026-07-14,LS1348,MCO,10,,Whoever wrote that reply actually read my email. Rare and appreciated.
R-0003,2026-07-28,LS2729,LAS,10,,Whoever wrote that reply actually read my email. Rare and appreciated.
R-0004,2026-08-08,LS946,AUS,10,,Got a real apology and a real explanation. That is all I wanted.
R-0005,2026-07-14,LS1164,AUS,5,,It took four emails to get one number confirmed.
R-0006,2026-07-02,LS2667,HOU,4,,"Delay was weather, I understand that, but the communication was terrible."
R-0007,2026-07-15,LS1298,BNA,10,,The app rebooked me before I even landed. Impressive.
R-0008,2026-07-04,LS701,HOU,5,,It took four emails to get one number confirmed.
R-0009,2026-07-13,LS727,OAK,2,,Wheelchair assistance never arrived at the gate.
R-0010,2026-07-31,LS1484,DEN,4,,The response I got was clearly a template and did not answer my question.
R-0011,2026-07-20,LS793,MCO,5,,Agent was kind but could not tell me what the policy actually was.
R-0012,2026-07-04,LS899,MCO,3,,Charged a change fee that your own policy page says does not exist.
R-0013,2026-08-08,LS1742,AUS,3,,Points still have not posted after two months.
R-0014,2026-07-29,LS2786,BWI,3,,Second time this quarter my bag was late out of the same airport.
R-0015,2026-08-09,LS1217,LAS,4,,My bag showed up the next day and nobody called to say so.
R-0016,2026-07-09,LS1988,OAK,4,,"Delay was weather, I understand that, but the communication was terrible."
R-0017,2026-07-27,LS1238,BNA,9,,Got a real apology and a real explanation. That is all I wanted.
R-0018,2026-07-15,LS1823,MDW,3,,It took four emails to get one number confirmed.
R-0019,2026-08-08,LS333,BNA,10,,Crew were outstanding during a hard delay. Genuinely.
R-0020,2026-08-08,LS123,BWI,4,,"Delay was weather, I understand that, but the communication was terrible."
R-0021,2026-07-26,LS577,AUS,3,,My bag showed up the next day and nobody called to say so.
R-0022,2026-07-21,LS1868,LAS,3,,The response I got was clearly a template and did not answer my question.
R-0023,2026-07-16,LS1736,SAN,5,,The refund took five weeks and I had to ask three times.
R-0024,2026-07-30,LS1430,DAL,3,,The refund took five weeks and I had to ask three times.
R-0025,2026-07-28,LS2743,AUS,1,,I got three different answers from three different people.
R-0026,2026-07-28,LS2402,DAL,1,,Wheelchair assistance never arrived at the gate.
R-0027,2026-07-19,LS1059,MCO,10,,The app rebooked me before I even landed. Impressive.
